,ThD,Sampled,Sampl%,NMAE,RMSE
0,1.1,2820,0.021,0.0015,0.0343
1,1.11,2820,0.021,0.0015,0.0343
2,1.12,2820,0.021,0.0015,0.0343
3,1.1300000000000001,2820,0.021,0.0015,0.0343
4,1.1400000000000001,2820,0.021,0.0015,0.0343
5,1.1500000000000001,2760,0.042,0.00161,0.03685
6,1.1600000000000001,2760,0.042,0.00161,0.03685
7,1.1700000000000002,2760,0.042,0.00161,0.03685
8,1.1800000000000002,2760,0.042,0.00161,0.03685
9,1.1900000000000002,2760,0.042,0.00161,0.03685
10,1.2000000000000002,2700,0.062,0.00392,0.08956
11,1.2100000000000002,2640,0.083,0.00416,0.09486
12,1.2200000000000002,2640,0.083,0.00416,0.09486
13,1.2300000000000002,2640,0.083,0.00416,0.09486
14,1.2400000000000002,2640,0.083,0.00416,0.09486
15,1.2500000000000002,2640,0.083,0.00416,0.09486
16,1.2600000000000002,2640,0.083,0.00416,0.09486
17,1.2700000000000002,2640,0.083,0.00493,0.11258
18,1.2800000000000002,2640,0.083,0.00493,0.11258
19,1.2900000000000003,2640,0.083,0.00493,0.11258
20,1.3000000000000003,2520,0.125,0.00695,0.15863
21,1.3100000000000003,2520,0.125,0.00987,0.22539
22,1.3200000000000003,2400,0.167,0.02267,0.51751
23,1.3300000000000003,2400,0.167,0.02267,0.51751
24,1.3400000000000003,2220,0.229,0.03862,0.88163
25,1.3500000000000003,2100,0.271,0.04686,1.06986
26,1.3600000000000003,1980,0.312,0.04758,1.08617
27,1.3700000000000003,1920,0.333,0.04768,1.08855
28,1.3800000000000003,1620,0.438,0.04761,1.08682
29,1.3900000000000003,1440,0.5,0.04912,1.12148
30,1.4000000000000004,1020,0.646,0.05831,1.33113
31,1.4100000000000004,1020,0.646,0.05831,1.33113
32,1.4200000000000004,60,0.979,0.03905,0.89153
33,1.4300000000000004,60,0.979,0.03905,0.89153
34,1.4400000000000004,60,0.979,0.03905,0.89153
35,1.4500000000000004,60,0.979,0.03905,0.89153
36,1.4600000000000004,60,0.979,0.03905,0.89153
37,1.4700000000000004,60,0.979,0.03905,0.89153
38,1.4800000000000004,60,0.979,0.03905,0.89153
39,1.4900000000000004,60,0.979,0.03905,0.89153
